Serving HTTP on 0.0.0.0 port 3000 (http://0.0.0.0:3000/) ...
127.0.0.1 - - [06/Aug/2026 21:41:19] "GET /owner/pose-7-leaning-transparent.png HTTP/1.1" 200 -
127.0.0.1 - - [06/Aug/2026 21:44:16] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [06/Aug/2026 21:44:16] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [06/Aug/2026 21:44:33] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [06/Aug/2026 21:44:34] "GET /assets/index-R_V41V_y.js HTTP/1.1" 200 -
127.0.0.1 - - [06/Aug/2026 21:44:35] "GET /assets/index-BmT6ZhOI.css HTTP/1.1" 200 -
127.0.0.1 - - [06/Aug/2026 21:44:36] "GET /owner/pose-1-holding-plate.webp HTTP/1.1" 200 -
127.0.0.1 - - [06/Aug/2026 21:44:37] "GET /brand/logo.png HTTP/1.1" 200 -
127.0.0.1 - - [06/Aug/2026 21:44:37] "GET /backgrounds/night-stall.png HTTP/1.1" 200 -
127.0.0.1 - - [06/Aug/2026 21:44:42] "GET /backgrounds/takeaway-bustling.png HTTP/1.1" 200 -
127.0.0.1 - - [06/Aug/2026 21:44:43] "GET /backgrounds/night-taxi.png HTTP/1.1" 200 -
127.0.0.1 - - [06/Aug/2026 21:44:44] "GET /backgrounds/coffee-pattern-v2.jpg HTTP/1.1" 200 -
127.0.0.1 - - [06/Aug/2026 21:44:44] "GET /owner/pose-6-presenting.png HTTP/1.1" 200 -
127.0.0.1 - - [06/Aug/2026 21:44:55] "GET /owner/pose-7-leaning-transparent.png HTTP/1.1" 200 -
127.0.0.1 - - [06/Aug/2026 21:44:55] "GET /backgrounds/customer-served.png HTTP/1.1" 200 -
